GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,YEAR.display-label,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Meaning of Year,Number of establishments,Number of employees,Noise range for number of employees (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
8610000US64639,64639,"ZIP 64639 (De Witt, MO)",00,Total for all sectors,2007,Reference year 2007,2,a,D,D,D,D,D
8610000US64640,64640,"ZIP 64640 (Gallatin, MO)",00,Total for all sectors,2007,Reference year 2007,101,837,H,4589,H,19261,H
8610000US64641,64641,"ZIP 64641 (Galt, MO)",00,Total for all sectors,2007,Reference year 2007,7,19,G,49,H,216,G
8610000US64642,64642,"ZIP 64642 (Gilman City, MO)",00,Total for all sectors,2007,Reference year 2007,12,35,H,128,H,527,H
8610000US64643,64643,"ZIP 64643 (Hale, MO)",00,Total for all sectors,2007,Reference year 2007,16,50,G,309,G,1432,G
8610000US64644,64644,"ZIP 64644 (Hamilton, MO)",00,Total for all sectors,2007,Reference year 2007,71,450,G,2672,G,12848,G
8610000US64645,64645,"ZIP 64645 (Harris, MO)",00,Total for all sectors,2007,Reference year 2007,2,a,D,D,D,D,D
8610000US64646,64646,"ZIP 64646 (Humphreys, MO)",00,Total for all sectors,2007,Reference year 2007,4,a,D,D,D,D,D
8610000US64647,64647,"ZIP 64647 (Jameson, MO)",00,Total for all sectors,2007,Reference year 2007,1,a,D,D,D,D,D
8610000US64648,64648,"ZIP 64648 (Jamesport, MO)",00,Total for all sectors,2007,Reference year 2007,33,140,G,557,G,2308,G
8610000US64649,64649,"ZIP 64649 (Kidder, MO)",00,Total for all sectors,2007,Reference year 2007,15,141,G,665,G,2868,G
8610000US64650,64650,"ZIP 64650 (Kingston, MO)",00,Total for all sectors,2007,Reference year 2007,6,b,S,S,S,207,H
8610000US64651,64651,"ZIP 64651 (Laclede, MO)",00,Total for all sectors,2007,Reference year 2007,10,35,G,238,G,672,G
8610000US64652,64652,"ZIP 64652 (Laredo, MO)",00,Total for all sectors,2007,Reference year 2007,5,8,G,37,G,170,G
8610000US64653,64653,"ZIP 64653 (Linneus, MO)",00,Total for all sectors,2007,Reference year 2007,13,29,G,127,G,618,G
8610000US64655,64655,"ZIP 64655 (Lucerne, MO)",00,Total for all sectors,2007,Reference year 2007,4,9,G,29,G,155,G
